name,wiki_description,wiki_url,categories,fact_style,fact_completed,fact_type,fact_built,fact_built_by,fact_visitors
Château de Bussy-Rabutin,"Roger de Rabutin, comte de Bussy (13 April 1618 – 9 April 1693), commonly known as Bussy-Rabutin, was a French memoirist. He was the cousin and frequent correspondent of Madame de Sévigné.","https://en.wikipedia.org/wiki/Roger_de_Rabutin,_comte_de_Bussy","1618 births, 1693 deaths, People from Nivernais, Members of the Académie Française, 17th-century French writers",,,,,,
Château de Bouges,"The Château de Bouges (French pronunciation: ) is an 18th-century mansion in the town of Bouges-le-Château, in the Indre département of France, in the Loire Valley. It is classified as a monument historique and the gardens are listed by the Ministry of Culture as among the Notable Gardens of France. The château and gardens are open to the public.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Bouges,"Châteaux of the Loire Valley, Châteaux in Indre, Gardens in Indre, Historic house museums in Centre-Val de Loire, Museums in Indre",,,,,,
Colonne de Juillet,"The July Column (French: Colonne de Juillet, ) is a monumental column in Paris commemorating the Revolution of 1830. It stands in the center of the Place de la Bastille and celebrates the Trois Glorieuses — the 'three glorious' days of 27–29 July 1830 that saw the fall of Charles X, King of France, and the commencement of the July Monarchy of Louis-Philippe, King of the French. It was built between 1835 and 1840.",https://en.wikipedia.org/wiki/July_Column,"Buildings and structures completed in 1840, Monuments and memorials in Paris, Place de la Bastille, Monumental columns in France, Terminating vistas in Paris",,,Victory column,,"Jean-Antoine Alavoine, Joseph-Louis Duc","2,400 (in 2022)"
Conciergerie,"The Conciergerie (French pronunciation: ) (English: Lodge) is a former courthouse and prison in Paris, France located on the west of the Île de la Cité below the Palais de Justice. It was originally part of the former royal palace, the Palais de la Cité, which also included the Sainte-Chapelle. Two large medieval halls remain from the royal palace. During the French Revolution, 2,781 prisoners, including Marie Antoinette, were imprisoned, tried and sentenced at the Conciergerie then sent to different sites to be executed by the guillotine. It’s now a national monument and museum.",https://en.wikipedia.org/wiki/Conciergerie,"Châteaux in Paris, Castles in Île-de-France, Royal residences in France, Tourist attractions in Paris, Defunct prisons in Paris",Gothic and Gothic Revival,,"palace, courthouse, prison",,,
Cathédrale Notre-Dame d'Amiens,"The Cathedral of Our Lady of Amiens (French: Cathédrale Notre-Dame d'Amiens), or simply Amiens Cathedral, is a Catholic cathedral. The cathedral is the seat of the Bishop of Amiens. It is situated on a slight ridge overlooking the River Somme in Amiens, the administrative capital of the Picardy region of France, some 120 kilometres (75 miles) north of Paris.",https://en.wikipedia.org/wiki/Amiens_Cathedral,"Buildings and structures completed in 1270, 13th-century Roman Catholic church buildings in France, World Heritage Sites in France, Roman Catholic cathedrals in France, Buildings and structures in Amiens",Rayonnant,,Cultural,c. 1220–1270,"Robert of Luzarches, Thomas and Regnault de Cormont",
Château d'Azay-le-Rideau,"The Château d'Azay-le-Rideau (pronounced ) is located in the town of Azay-le-Rideau in the French département of Indre-et-Loire. Built between 1518 and 1527, this château is considered one of the foremost examples of early French renaissance architecture. Set on an island in the middle of the Indre river, this picturesque château has become one of the most popular of the châteaux of the Loire valley.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Azay-le-Rideau,"Châteaux in Indre-et-Loire, Houses completed in 1527, Historic house museums in Centre-Val de Loire, Museums in Indre-et-Loire, Water castles in France",,,,,,
Château de Maisons,"The Château de Maisons (now Château de Maisons-Laffitte ), designed by François Mansart from 1630 to 1651, is a prime example of French Baroque architecture and a reference point in the history of French architecture. The château is located in Maisons-Laffitte, a northwestern suburb of Paris, in the department of Yvelines, Île-de-France.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Maisons,"Houses completed in 1651, Châteaux in Yvelines, Palaces in France, Historic house museums in Île-de-France, Museums in Yvelines",,,,,,
Abbaye de Montmajour,"Montmajour Abbey, formally the Abbey of St. Peter in Montmajour (French: Abbaye Saint-Pierre de Montmajour ; Occitan: Abadia de Sancte Pèire en Montmajour), was a fortified Benedictine monastery built between the 10th and 18th centuries on what was originally an island five kilometers north of Arles, in what is now the Bouches-du-Rhône Department, in the region of Provence in the south of France.",https://en.wikipedia.org/wiki/Montmajour_Abbey,"12th-century Roman Catholic church buildings in France, 14th-century Roman Catholic church buildings in France, 18th-century Roman Catholic church buildings in France, Christian monasteries established in the 10th century, Benedictine monasteries in France",Gothic and Neoclassical,,,949,Pierre II Mignard (Maurist monastery),
Abbaye du Thoronet,"Thoronet Abbey (French: L'abbaye du Thoronet) is a former Cistercian abbey built in the late twelfth and early thirteenth century, now restored as a museum. It is sited between the towns of Draguignan and Brignoles in the Var Department of Provence, in southeast France. It is one of the three Cistercian abbeys in Provence, along with the Sénanque Abbey and Silvacane, that together are known as ""the Three Sisters of Provence.""",https://en.wikipedia.org/wiki/Thoronet_Abbey,"Romanesque architecture in Provence, Cistercian monasteries in France, Buildings and structures in Var (department), 1120 establishments in Europe, 1120s establishments in France",,,,,,
Panthéon,"The Panthéon (French:  ⓘ, from Ancient Greek πάνθειον (pántheion) ' to all the gods') is a monument in the 5th arrondissement of Paris, France. It stands in the Latin Quarter (Quartier Latin), on the Montagne Sainte-Geneviève, in the centre of the Place du Panthéon, which was named after it. The edifice was built between 1758 and 1790, from designs by Jacques-Germain Soufflot, at the behest of King Louis XV; the king intended it as a church dedicated to Saint Genevieve, Paris's patron saint, whose relics were to be housed in the church. Neither Soufflot nor Louis XV lived to see the church completed.",https://en.wikipedia.org/wiki/Panth%C3%A9on,"1790 establishments in France, Buildings and structures in the 5th arrondissement of Paris, Cemeteries in Paris, Churches completed in 1790, Domes",Neoclassicism,1790,Mausoleum,1758,"Jacques-Germain Soufflot, Jean-Baptiste Rondelet",
Château de Châteaudun,The Château de Châteaudun is a castle located in the town of Châteaudun in the French department of Eure-et-Loir.,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Ch%C3%A2teaudun,"Castles in Centre-Val de Loire, Historic house museums in Centre-Val de Loire, Châteaux in Eure-et-Loir, Museums in Eure-et-Loir, Monuments historiques of Eure-et-Loir",Gothic and Renaissance,,"Castle, then château",1171,,
Villa Savoye,"Villa Savoye (French pronunciation: ) is a modernist villa and gatelodge in Poissy, on the outskirts of Paris, France. It was designed by the Swiss-French architect Le Corbusier and his cousin Pierre Jeanneret, and built between 1928 and 1931 using reinforced concrete.",https://en.wikipedia.org/wiki/Villa_Savoye,"Villa Savoye, 1931 establishments in France, Buildings and structures in Yvelines, Historic house museums in Île-de-France, Restored and conserved buildings",,,Cultural,,"Le Corbusier, Pierre Jeanneret",
Château de Fougères-sur-Bièvre,"Fougères-sur-Bièvre (French pronunciation: ) is a former commune in the Loir-et-Cher department of central France. On 1 January 2019, it was merged into the new commune Le Controis-en-Sologne.",https://en.wikipedia.org/wiki/Foug%C3%A8res-sur-Bi%C3%A8vre,"Former communes of Loir-et-Cher, Loir-et-Cher geography stubs",,,,,,
Château de Puyguilhem,"The Château de Puyguilhem, also called Puyguilhem Castle, is a château in the commune of Villars in north of the Dordogne, France. Built between 1514 and 1535, the Renaissance style castle like that of the Loire castles was classified as a historical monument on 20 March 1912 and the grounds, woods, and outskirts were registered on 19 May 1945. It is owned by the state of France. It is open to the public.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Puyguilhem_(Villars),"Houses completed in 1535, Châteaux in Dordogne, Historic house museums in Nouvelle-Aquitaine, Museums in Dordogne, Monuments historiques of Dordogne",Renaissance and Gothic architecture,,,1514 to 1535,,
Château d'If,"The Château d'If (French pronunciation: ; Occitan: Castèl d'If) is a fortress located on the Île d'If (Ilha d'If), the smallest island in the Frioul archipelago, situated about 1.5 kilometres (7⁄8 mile) offshore from Marseille in southeastern France. Built in the 16th century, it later served as a prison until the end of the 19th century. The fortress was demilitarized and opened to the public in 1890. It is famous for being one of the settings of Alexandre Dumas's adventure novel The Count of Monte Cristo. It is one of the most visited sites in the city of Marseille (nearly 100,000 visitors per year).",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27If,"1531 establishments in France, 7th arrondissement of Marseille, Buildings and structures in Marseille, Castles in Provence-Alpes-Côte d'Azur, The Count of Monte Cristo",Gothic Revival architecture,16th century,,,,
Tours de La Rochelle,"La Rochelle (UK: /ˌlæ rɒˈʃɛl/, US: /ˌlɑː roʊˈʃɛl/, French:  ⓘ; Poitevin-Saintongeais: La Rochéle) is a city on the west coast of France and a seaport on the Bay of Biscay, a part of the Atlantic Ocean. It is the capital of the Charente-Maritime department. With 78,535 inhabitants in 2021, La Rochelle is the most populated commune in the department and ranks fourth in the Nouvelle-Aquitaine region after Bordeaux, the regional capital, Limoges and Poitiers.",https://en.wikipedia.org/wiki/La_Rochelle,"La Rochelle, Populated coastal places in France, Communes of Charente-Maritime, Port cities and towns on the French Atlantic coast, Prefectures in France",,,,,,
Château de Montal,"The Château de Montal is a French Renaissance château located in the heart of the valley of the Bave in the commune of Saint-Jean-Lespinasse in Lot department in the region of Occitanie, in southwestern France. The château has been classified as a historical monuments since 14 June 1909.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Montal,"Châteaux in Lot (department), Monuments historiques of Lot (department)",French Renaissance,,,,,
Château de Pierrefonds,"The Château de Pierrefonds (French pronunciation: ) is a castle situated in the commune of Pierrefonds in the Oise department in the Hauts-de-France region, Northern France.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Pierrefonds,"1400s establishments in France, Buildings and structures completed in 1407, 15th-century fortifications, Castles in Hauts-de-France, Châteaux in Oise",,,Medieval castle,c. 1393–1407,,
Villa Cavrois,"Villa Cavrois in Croix is a large modernist mansion built in 1932 by French architect Robert Mallet-Stevens for Paul Cavrois, an industrialist from Roubaix active in the textile industry.",https://en.wikipedia.org/wiki/Villa_Cavrois,"Buildings and structures in Nord (French department), Modernist architecture in France, Villas in France, Houses completed in 1932, Tourist attractions in Nord (French department)",International style,1932,Private house,1929,Robert Mallet-Stevens,
Cité internationale de la langue française - château de Villers-Cotterêts,"The Château de Villers-Cotterêts (pronounced ) is a historic French château located in the town of Villers-Cotterêts in the Aisne department, Hauts-de-France, about 80 kilometres (50 miles) north-east of Paris.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Villers-Cotter%C3%AAts,"Monuments historiques of Aisne, Renaissance architecture in France, House of Orléans",French Renaissance,1556,Château,1530,"Jacques Lebreton, Guillaume Lebreton, Philibert de l'Orme",
Maison et jardins de Georges Clemenceau,"The Maison de Balzac (French pronunciation: , English: Balzac's House) is a writer's house museum in the former residence of French novelist Honoré de Balzac (1799–1850). It is located in the 16th arrondissement at 47, rue Raynouard, Paris, France, and open daily except Mondays and holidays; admission to the house is free, but a fee is charged for its temporary exhibitions. The nearest métro and RER stations are Passy and Avenue du Président Kennedy.",https://en.wikipedia.org/wiki/Maison_de_Balzac,"Museums in Paris, Historic house museums in Paris, Honoré de Balzac, Buildings and structures in the 16th arrondissement of Paris, Houses in Paris",,,,,,
Château de Castelnau-Bretenoux,"The Château de Castelnau-Bretenoux (French pronunciation: ) is a castle in the commune of Prudhomat, Lot département, France. One of the most impressive in the Quercy region, it has been listed as a monument historique by the French Ministry of Culture since 1862.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Castelnau-Bretenoux,"Châteaux in Lot (department), Historic house museums in Occitania (administrative region), Museums in Lot (department), Monuments historiques of Lot (department), Monuments of the Centre des monuments nationaux",,,,,,
Monastère de Saorge,,https://en.wikipedia.org/w/index.php?go=Go&search=Monast%C3%A8re%20de%20Saorge%20France&title=Special:Search&ns0=1,,,,,,,
Chapelle expiatoire,"The Chapelle expiatoire (French pronunciation: , ""Expiatory Chapel"") is a Roman Catholic chapel located in the 8th arrondissement of Paris, France. The chapel was constructed by Louis XVIII on the grounds where King Louis XVI and Queen Marie Antoinette had been buried after they had been guillotined, and it is dedicated to them as an expiation for that act. The remains of Louis XVI and Marie Antoinette are not in the chapel; they are in the Basilica of Saint-Denis, near Paris, with other French monarchs.",https://en.wikipedia.org/wiki/Chapelle_expiatoire,"1826 establishments in France, Cemeteries in Paris, Roman Catholic churches completed in 1826, Roman Catholic church buildings in the 8th arrondissement of Paris, Catholic chapels in Paris",,,church,1816,"Louis XVIII, Duchess of Angoulême",
Palais Jacques Cœur,"The Palais Jacques Cœur is a large hôtel particulier built by Jacques Cœur for himself and his family in Bourges, France. Built and decorated in the flamboyant style, it is widely viewed as one of the most prominent examples of French civilian architecture in the 15th century.",https://en.wikipedia.org/wiki/Palais_Jacques_Coeur,Buildings and structures in Cher (department),,,,,,
Cloître de la Psalette,"Tours Cathedral (French: Cathédrale Saint-Gatien de Tours) is a Roman Catholic church located in Tours, Indre-et-Loire, France. It is the seat of the Archbishops of Tours, the metropolitan cathedral of the Tours ecclesiastical province and is dedicated to Saint Gatianus. Built between 1170 and 1547, the church has been a classified monument historique since 1862 and has been owned by the French State, with the Catholic Church having the exclusive rights of use.",https://en.wikipedia.org/wiki/Tours_Cathedral,"Churches in Indre-et-Loire, Buildings and structures in Tours, France, Gothic architecture in France, Monuments of the Centre des monuments nationaux, Roman Catholic cathedrals in France",French Gothic,1547,Classé,,,
Château de Champs-sur-Marne,"The Château de Champs-sur-Marne (French pronunciation: ) is a neoclassical château in Champs-sur-Marne, France. It was built in its present form for the treasurer Charles Renouard de la Touane in 1699 by Pierre Bullet, architecte du roi. After the first proprietor's bankruptcy, another financier, Paul Poisson de Bourvalais, took up the project. Jean-Baptiste Bullet de Chamblain, the son of Pierre Bullet, finished Champs in 1706.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Champs-sur-Marne,"Châteaux in Seine-et-Marne, Gardens in Seine-et-Marne, Historic house museums in Île-de-France, Museums in Seine-et-Marne",,,,,,
Château de Villeneuve-Lembron,Lezoux (French pronunciation:  ⓘ; Occitan: Lesós) is a commune in the Puy-de-Dôme department in Auvergne in central France. It was a key location in the filming of the 2004 film Les Choristes (The Chorus).,https://en.wikipedia.org/wiki/Lezoux,"Communes of Puy-de-Dôme, Auvergne, Puy-de-Dôme geography stubs",,,,,,
Château d'Oiron,"The Château d'Oiron is located in Oiron, in the Deux-Sèvres département of western France. It has its origins in the 15th century war with the English for control of France when a victorious Charles VII of France gave the domain and great forest of Oiron to Guillaume Gouffier who became governor of Touraine. This château is the background for Charles Perrault's fairy tale, Puss in Boots. King Louis XIV's mistress, Madame de Montespan was one of the residents in the place.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Oiron,"15th-century establishments in France, Houses completed in the 15th century, Châteaux in Deux-Sèvres, Museums in Deux-Sèvres, Art museums and galleries in France",,,,,,
Site des mégalithes de Locmariaquer,"The Locmariaquer megaliths are a complex of Neolithic constructions in Locmariaquer, Brittany. They comprise the elaborate Er-Grah tumulus passage grave, a dolmen known as the Table des Marchand and ""The Broken Menhir of Er Grah"", the largest known single block of stone to have been transported and erected by Neolithic people.",https://en.wikipedia.org/wiki/Locmariaquer_megaliths,"Buildings and structures completed in the 5th millennium BC, Megalithic monuments in Brittany, Archaeological sites in Brittany, Monuments historiques of Morbihan, Tumuli in France",,,,,,
Abbaye de Cluny,"Cluny Abbey (French: ; French: Abbaye de Cluny, formerly also Cluni or Clugny; Latin: Abbatia Cluniacensis) is a former Benedictine monastery in Cluny, Saône-et-Loire, France. It was dedicated to Saints Peter and Paul.",https://en.wikipedia.org/wiki/Cluny_Abbey,"Benedictine monasteries in France, Buildings and structures in Saône-et-Loire, 910 establishments, Religious buildings and structures completed in the 910s, Christian monasteries established in the 10th century",,,,910,"William I, Duke of Aquitaine",
Ensemble cathédral du Puy-en-Velay,"Le Puy Cathedral (French: Cathédrale Notre-Dame-de-l'Annonciation du Puy) is a Catholic church located in Le Puy-en-Velay, in the French region of Auvergne. The cathedral is a national monument. It has been a centre of pilgrimage in its own right since before the time of Charlemagne, as well as being a stopover on the pilgrimage route to Santiago de Compostela. Since 1998 it has been part of a multi-location UNESCO World Heritage Site along France's Santiago pilgrimage routes. It is the seat of the Bishop of Le Puy.",https://en.wikipedia.org/wiki/Le_Puy_Cathedral,"Roman Catholic cathedrals in France, Churches in Haute-Loire, Monuments historiques of Haute-Loire, World Heritage Sites in France, Basilica churches in France",Romanesque,13th century,classé,,,
Sites préhistoriques de la vallée de la Vézère,"This is a list of World Heritage Sites in France with properties of cultural and natural heritage in France as inscribed on UNESCO's World Heritage List or as on the country's tentative list. France accepted the Convention Concerning the Protection of the World Cultural and Natural Heritage on 27 June 1975, after which it could nominate properties on their territory to be considered for the World Heritage List.",https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_France,"World Heritage Sites in France, Lists of World Heritage Sites, Lists of tourist attractions in France, French culture-related lists",,,,,,
Maison de George Sand,"The House of George Sand is a writer's house museum in the village of Nohant, in the Indre department of France. It was the home of George Sand (born as Aurore Dupin; 1804–1876), a French author, and was purchased by the French state in 1952. The house was preserved because it was where Sand wrote many of her books and hosted some of the most important artists and writers of her time, including Frédéric Chopin, Franz Liszt, Honoré de Balzac, Ivan Turgenev, and Eugène Delacroix.",https://en.wikipedia.org/wiki/House_of_George_Sand,"Buildings and structures completed in 1452, Houses completed in the 15th century, Houses in France, Gardens in Indre, Buildings and structures in Indre",,,,,,
Sainte-Chapelle,"The Sainte-Chapelle (French: ; English: Holy Chapel) is a royal chapel in the Gothic style, within the medieval Palais de la Cité, the residence of the Kings of France until the 14th century, on the Île de la Cité in the River Seine in Paris, France.",https://en.wikipedia.org/wiki/Sainte-Chapelle,"13th-century Roman Catholic church buildings in France, Buildings and structures completed in 1248, Churches completed in the 1240s, Crown of thorns, Double chapels",Rayonnant Gothic,1248,Royal chapel,,,
Tours de la cathédrale de Reims,"Notre-Dame de Reims (/ˌnɒtrə ˈdɑːm, ˌnoʊtrə ˈdeɪm, ˌnoʊtrə ˈdɑːm/; French:  ⓘ; meaning ""Our Lady of Reims""), known in English as Reims Cathedral (also spelt Rheims Cathedral), is a Catholic cathedral in the French city of the same name, the seat of the Archdiocese of Reims. The cathedral was dedicated to the Virgin Mary and was the traditional location for the coronation of the kings of France. The cathedral is considered to be one of the most important works of Gothic architecture. A major tourist destination, it receives about a million visitors annually. It became a UNESCO World Heritage Site in 1991.",https://en.wikipedia.org/wiki/Reims_Cathedral,"Buildings and structures completed in 1275, 13th-century Roman Catholic church buildings in France, World Heritage Sites in France, Roman Catholic church buildings in Reims, Roman Catholic cathedrals in France",High Gothic,1275,Church,1211–1345,"Jean d'Orbais, Jean-le-Loup, Gaucher of Reims, Bernard de Soissons",
Château ducal de Cadillac,"The House of Nogaret de La Valette, formerly Nogaret, was a ducal family of French nobility, originally from Lavalette (Haute-Garonne) in the Languedoc region. It died out in the 17th century.. The family was elevated to the ducal title four times (1581, 1611, 1621, 1622) and to the rank of Peer of France as early as 1581..",https://en.wikipedia.org/wiki/House_of_Nogaret_de_La_Vallette,"French noble families, House of Nogaret de La Vallete",,,,,,
