input_name,wiki_name,wiki_description,wiki_url,category,lat,lon
Tour Pey-Berland,Tour Pey-Berland,"The Tour Pey-Berland (Pey Berland Tower), named for its patron Pey Berland, is the separate bell tower of the Bordeaux Cathedral, in Bordeaux at the Place Pey Berland.",https://en.wikipedia.org/wiki/Tour_Pey-Berland,Historic Site,,
Hôtel de Sully,Hôtel de Sully,"The Hôtel de Sully (French pronunciation: ) is a Louis XIII style hôtel particulier, or private mansion, located at 62 Rue Saint-Antoine in the Marais, 4th arrondissement, Paris, France. Built at the beginning of the 17th century, it is nowadays the seat of the Centre des monuments nationaux, the French national organization responsible for national heritage sites. It has been listed since 1862 as a monument historique by the Ministry of Culture.",https://en.wikipedia.org/wiki/H%C3%B4tel_de_Sully,Monument / Landmark,,
Hôtel de Sade,Hôtel de Sade,"The Hôtel de Sade is a building in Avignon, in the Vaucluse department.",https://fr.wikipedia.org/wiki/H%C3%B4tel_de_Sade,Historic Site,43.94774,4.80535
Chapelle des moines de Berz-la-Ville,Chapelle des moines de Berzé-la-Ville,The Chapel of the Moines is a Romanesque chapel integrated into a deanery called the Château des Moines located on the territory of the commune of Berzé-la-Ville in the French department of Saône-et-Loire in the Burgundy-Franche-Comté region.,https://fr.wikipedia.org/wiki/Chapelle_des_moines_de_Berz%C3%A9-la-Ville,Historic Site,46.363537,4.700467
Château de Bussy-Rabutin,Château de Bussy-Rabutin,"The Château de Bussy-Rabutin, also known as Château de Bussy-le-Grand, is a château which developed from a 12th-century castle, located in the commune of Bussy-le-Grand, in the Côte-d'Or department, Bourgogne, eastern France.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Bussy-Rabutin,Historic Site,,
Château de Bouges,Château de Bouges,"The Château de Bouges (French pronunciation: ) is an 18th-century mansion in the town of Bouges-le-Château, in the Indre département of France, in the Loire Valley. It is classified as a monument historique and the gardens are listed by the Ministry of Culture as among the Notable Gardens of France. The château and gardens are open to the public.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Bouges,Monument / Landmark,,
Colonne de Juillet,July Column,"The July Column (French: Colonne de Juillet, ) is a monumental column in Paris commemorating the Revolution of 1830. It stands in the center of the Place de la Bastille and celebrates the Trois Glorieuses — the 'three glorious' days of 27–29 July 1830 that saw the fall of Charles X, King of France, and the commencement of the July Monarchy of Louis-Philippe, King of the French. It was built between 1835 and 1840.",https://en.wikipedia.org/wiki/July_Column,Monument / Landmark,,
Conciergerie,Conciergerie,"The Conciergerie (French pronunciation: ) (English: Lodge) is a former courthouse and prison in Paris, France located on the west of the Île de la Cité below the Palais de Justice. It was originally part of the former royal palace, the Palais de la Cité, which also included the Sainte-Chapelle. Two large medieval halls remain from the royal palace. During the French Revolution, 2,781 prisoners, including Marie Antoinette, were imprisoned, tried and sentenced at the Conciergerie then sent to different sites to be executed by the guillotine. It’s now a national monument and museum.",https://en.wikipedia.org/wiki/Conciergerie,Monument / Landmark,,
Cathédrale Notre-Dame d'Amiens,Amiens Cathedral,"The Cathedral of Our Lady of Amiens (French: Cathédrale Notre-Dame d'Amiens), or simply Amiens Cathedral, is a Catholic cathedral. The cathedral is the seat of the Bishop of Amiens. It is situated on a slight ridge overlooking the River Somme in Amiens, the administrative capital of the Picardy region of France, some 120 kilometres (75 miles) north of Paris.",https://en.wikipedia.org/wiki/Amiens_Cathedral,Historic Site,,
Château d'Azay-le-Rideau,Château d'Azay-le-Rideau,"The Château d'Azay-le-Rideau (pronounced ) is located in the town of Azay-le-Rideau in the French département of Indre-et-Loire. Built between 1518 and 1527, this château is considered one of the foremost examples of early French renaissance architecture. Set on an island in the middle of the Indre river, this picturesque château has become one of the most popular of the châteaux of the Loire valley.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Azay-le-Rideau,Historic Site,,
Château de Maisons,Château de Maisons,"The Château de Maisons (now Château de Maisons-Laffitte ), designed by François Mansart from 1630 to 1651, is a prime example of French Baroque architecture and a reference point in the history of French architecture. The château is located in Maisons-Laffitte, a northwestern suburb of Paris, in the department of Yvelines, Île-de-France.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Maisons,Historic Site,,
Abbaye de Montmajour,Montmajour Abbey,"Montmajour Abbey, formally the Abbey of St. Peter in Montmajour (French: Abbaye Saint-Pierre de Montmajour ; Occitan: Abadia de Sancte Pèire en Montmajour), was a fortified Benedictine monastery built between the 10th and 18th centuries on what was originally an island five kilometers north of Arles, in what is now the Bouches-du-Rhône Department, in the region of Provence in the south of France.",https://en.wikipedia.org/wiki/Montmajour_Abbey,Historic Site,,
Abbaye du Thoronet,Thoronet Abbey,"Thoronet Abbey (French: L'abbaye du Thoronet) is a former Cistercian abbey built in the late twelfth and early thirteenth century, now restored as a museum. It is sited between the towns of Draguignan and Brignoles in the Var Department of Provence, in southeast France. It is one of the three Cistercian abbeys in Provence, along with the Sénanque Abbey and Silvacane, that together are known as ""the Three Sisters of Provence.""",https://en.wikipedia.org/wiki/Thoronet_Abbey,Museum,,
Panthéon,Panthéon,"The Panthéon (French:  ⓘ, from Ancient Greek πάνθειον (pántheion) ' to all the gods') is a monument in the 5th arrondissement of Paris, France. It stands in the Latin Quarter (Quartier Latin), on the Montagne Sainte-Geneviève, in the centre of the Place du Panthéon, which was named after it. The edifice was built between 1758 and 1790, from designs by Jacques-Germain Soufflot, at the behest of King Louis XV; the king intended it as a church dedicated to Saint Genevieve, Paris's patron saint, whose relics were to be housed in the church. Neither Soufflot nor Louis XV lived to see the church completed.",https://en.wikipedia.org/wiki/Panth%C3%A9on,Monument / Landmark,,
Château de Châteaudun,Château de Châteaudun,The Château de Châteaudun is a castle located in the town of Châteaudun in the French department of Eure-et-Loir.,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Ch%C3%A2teaudun,Historic Site,,
Villa Savoye,Villa Savoye,"Villa Savoye (French pronunciation: ) is a modernist villa and gatelodge in Poissy, on the outskirts of Paris, France. It was designed by the Swiss-French architect Le Corbusier and his cousin Pierre Jeanneret, and built between 1928 and 1931 using reinforced concrete.",https://en.wikipedia.org/wiki/Villa_Savoye,Historic Site,,
Château de Fougères-sur-Bièvre,Château de Fougères-sur-Bièvre,"The Château de Fougères-sur-Bièvre is a castle in the commune of Fougères-sur-Bièvre, in the French department of Loir-et-Cher.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Foug%C3%A8res-sur-Bi%C3%A8vre,Historic Site,,
Château de Puyguilhem,Château de Puyguilhem,Puyguilhem Castle may refer to two French castles in the Dordogne:,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Puyguilhem,Historic Site,,
Château d'If,Château d'If,"The Château d'If (French pronunciation: ; Occitan: Castèl d'If) is a fortress located on the Île d'If (Ilha d'If), the smallest island in the Frioul archipelago, situated about 1.5 kilometres (7⁄8 mile) offshore from Marseille in southeastern France. Built in the 16th century, it later served as a prison until the end of the 19th century. The fortress was demilitarized and opened to the public in 1890. It is famous for being one of the settings of Alexandre Dumas's adventure novel The Count of Monte Cristo. It is one of the most visited sites in the city of Marseille (nearly 100,000 visitors per year).",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27If,Historic Site,,
Tours de La Rochelle,La Rochelle,"La Rochelle Listenⓘ is a French commune, prefecture of the Charente-Maritime department, in the Nouvelle-Aquitaine region.",https://fr.wikipedia.org/wiki/La_Rochelle,Historic Site,46.159058,-1.151715
Château de Montal,Château de Montal,"The Château de Montal is a French Renaissance château located in the heart of the valley of the Bave in the commune of Saint-Jean-Lespinasse in Lot department in the region of Occitanie, in southwestern France. The château has been classified as a historical monuments since 14 June 1909.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Montal,Monument / Landmark,,
Château de Pierrefonds,Château de Pierrefonds,"The Château de Pierrefonds (French pronunciation: ) is a castle situated in the commune of Pierrefonds in the Oise department in the Hauts-de-France region, Northern France.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Pierrefonds,Historic Site,,
Villa Cavrois,Villa Cavrois,"Villa Cavrois in Croix is a large modernist mansion built in 1932 by French architect Robert Mallet-Stevens for Paul Cavrois, an industrialist from Roubaix active in the textile industry.",https://en.wikipedia.org/wiki/Villa_Cavrois,Historic Site,,
Cité internationale de la langue française - château de Villers-Cotterêts,Cité internationale de la langue française,"The Cité internationale de la langue française (sometimes abbreviated CILF) is a cultural place entirely dedicated to the French language and French-speaking cultures. It took place at the Château de Villers-Cotterêts, in the Aisne department, in the Hauts-de-France region. This castle is the very place where King François I signed the ordinance of 1539 making the use of French obligatory in administrative and judicial acts in France.",https://fr.wikipedia.org/wiki/Cit%C3%A9_internationale_de_la_langue_fran%C3%A7aise,Historic Site,49.255090033691,3.0917870813378
Maison et jardins de Georges Clemenceau,Maison de Georges Clemenceau,"The house and gardens of Georges Clemenceau is a country house-beach house in Vendée, on the edge of the Atlantic Ocean, at a place called “Bélesbat” (renamed Belébat) in Saint-Vincent-sur-Jard in Vendée (Pays de la Loire). Famous for having belonged to the politician Georges Clemenceau during the last ten years of his life, from 1919 to 1929, this house museum and its gardens have been classified as historic monuments since July 10, 1970, and labeled Maisons des Illustres since 2011.",https://fr.wikipedia.org/wiki/Maison_de_Georges_Clemenceau,Monument / Landmark,46.4063,-1.5475
Château de Castelnau-Bretenoux,Château de Castelnau-Bretenoux,"The Château de Castelnau-Bretenoux (French pronunciation: ) is a castle in the commune of Prudhomat, Lot département, France. One of the most impressive in the Quercy region, it has been listed as a monument historique by the French Ministry of Culture since 1862.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Castelnau-Bretenoux,Monument / Landmark,,
Monastère de Saorge,Monastère de Saorge,"The Saorge Monastery is a former Catholic monastery located in Saorge, France.",https://fr.wikipedia.org/wiki/Monast%C3%A8re_de_Saorge,Historic Site,43.9849,7.55509
Chapelle expiatoire,Chapelle expiatoire,"The Chapelle expiatoire (French pronunciation: , ""Expiatory Chapel"") is a Roman Catholic chapel located in the 8th arrondissement of Paris, France. The chapel was constructed by Louis XVIII on the grounds where King Louis XVI and Queen Marie Antoinette had been buried after they had been guillotined, and it is dedicated to them as an expiation for that act. The remains of Louis XVI and Marie Antoinette are not in the chapel; they are in the Basilica of Saint-Denis, near Paris, with other French monarchs.",https://en.wikipedia.org/wiki/Chapelle_expiatoire,Historic Site,,
Palais Jacques Cœur,Palais Jacques Coeur,"The Palais Jacques Cœur is a large hôtel particulier built by Jacques Cœur for himself and his family in Bourges, France. Built and decorated in the flamboyant style, it is widely viewed as one of the most prominent examples of French civilian architecture in the 15th century.",https://en.wikipedia.org/wiki/Palais_Jacques_Coeur,Historic Site,,
Cloître de la Psalette,Cloître de la Psalette,"The cloister of the Saint-Gatien cathedral of Tours, or Psalette cloister, is located in the Saint-Gatien district of Vieux-Tours. It is managed by the Center des monuments nationaux. It has been classified as a historic monument since 1889.",https://fr.wikipedia.org/wiki/Clo%C3%AEtre_de_la_Psalette,Monument / Landmark,47.3961,0.69508
Château de Champs-sur-Marne,Château de Champs-sur-Marne,"The Château de Champs-sur-Marne (French pronunciation: ) is a neoclassical château in Champs-sur-Marne, France. It was built in its present form for the treasurer Charles Renouard de la Touane in 1699 by Pierre Bullet, architecte du roi. After the first proprietor's bankruptcy, another financier, Paul Poisson de Bourvalais, took up the project. Jean-Baptiste Bullet de Chamblain, the son of Pierre Bullet, finished Champs in 1706.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Champs-sur-Marne,Historic Site,,
Château de Villeneuve-Lembron,Château de Villeneuve-Lembron,"Villeneuve-Lembron Castle is a castle located in Villeneuve between Clermont-Ferrand and Saint-Flour, in the Puy-de-Dôme department in France. Managed on behalf of the State by the Center for National Monuments, it is renowned for the interest of its painted decorations.",https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Villeneuve-Lembron,Monument / Landmark,45.477983,3.18597
Château d'Oiron,Château d'Oiron,"The Château d'Oiron is located in Oiron, in the Deux-Sèvres département of western France. It has its origins in the 15th century war with the English for control of France when a victorious Charles VII of France gave the domain and great forest of Oiron to Guillaume Gouffier who became governor of Touraine. This château is the background for Charles Perrault's fairy tale, Puss in Boots. King Louis XIV's mistress, Madame de Montespan was one of the residents in the place.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_d%27Oiron,Historic Site,,
Site des mégalithes de Locmariaquer,Site des mégalithes de Locmariaquer,"The Locmariaquer megalith site is a megalithic complex located in Locmariaquer and managed by the Center des monuments nationaux. The site presents three megaliths illustrating the diversity of Neolithic constructions in Morbihan built between -5000 and -3800 years ago: the large broken menhir of Er Grah, the tumulus of Er Grah, the Marchand table.",https://fr.wikipedia.org/wiki/Site_des_m%C3%A9galithes_de_Locmariaquer,Monument / Landmark,47.572306,-2.950694
Abbaye de Cluny,Cluny Abbey,"Cluny Abbey (French: ; French: Abbaye de Cluny, formerly also Cluni or Clugny; Latin: Abbatia Cluniacensis) is a former Benedictine monastery in Cluny, Saône-et-Loire, France. It was dedicated to Saints Peter and Paul.",https://en.wikipedia.org/wiki/Cluny_Abbey,Historic Site,,
Ensemble cathédrale du Puy-en-Velay,Cathédrale Notre-Dame du Puy-en-Velay,"Notre-Dame Cathedral in Puy-en-Velay is a major monument of Romanesque art and Western Christianity. It was erected as a minor basilica by an apostolic brief from Pius IX on February 11, 1856. Its full title is Notre-Dame-de-l'Annonciation du Puy-en-Velay.",https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_du_Puy-en-Velay,Monument / Landmark,45.045556,3.884722
Sites préhistoriques de la vallée de la Vézère,Sites préhistoriques et grottes ornées de la vallée de la Vézère,"The prehistoric sites and decorated caves of the Vézère valley constitute a set of exceptional prehistoric sites, spread over around forty kilometers along the Vézère valley between Les Eyzies-de-Tayac and Montignac, in Dordogne, Nouvelle-Aquitaine region, in France.",https://fr.wikipedia.org/wiki/Sites_pr%C3%A9historiques_et_grottes_orn%C3%A9es_de_la_vall%C3%A9e_de_la_V%C3%A9z%C3%A8re,Historic Site,,
Maison de George Sand,Domaine de George Sand,"The George Sand estate - often referred to simply as George Sand's house or Nohant castle - is an 18th century castle, located in Nohant-Vic, about thirty kilometers from Châteauroux.",https://fr.wikipedia.org/wiki/Domaine_de_George_Sand,Historic Site,46.62502,1.975297
Sainte-Chapelle,Sainte-Chapelle,"The Sainte-Chapelle (French: ; English: Holy Chapel) is a royal chapel in the Gothic style, within the medieval Palais de la Cité, the residence of the Kings of France until the 14th century, on the Île de la Cité in the River Seine in Paris, France.",https://en.wikipedia.org/wiki/Sainte-Chapelle,Historic Site,,
Tours de la cathédrale de Reims,Cathédrale Notre-Dame de Reims,"Notre-Dame de Reims Cathedral is a Roman Catholic cathedral located in Reims, in the French department of Marne in the Grand Est region. It is known to have been, from the 11th century, the place of almost all the coronations of the kings of France.",https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Notre-Dame_de_Reims,Historic Site,49.253611,4.033889
Château ducal de Cadillac,Château de Cadillac,"Cadillac Castle is located in the commune of Cadillac, in the French department of Gironde. The castle, the moat and the garden are classified as historic monuments by the 1862 list and by decree of July 12, 1956; the door to the vegetable garden was listed as a historic monument in 1965.",https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Cadillac,Monument / Landmark,44.638,-0.3204
Cloître de la cathédrale de Bayonne,Cathédrale Sainte-Marie de Bayonne,"Sainte-Marie Cathedral or Notre-Dame de Bayonne is a Latin rite Catholic cathedral located in the Pyrénées-Atlantiques department (southwest of France). Built in the 13th and 14th centuries, it is characteristic of the Gothic style. It is the episcopal seat of the diocese of Bayonne.",https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Sainte-Marie_de_Bayonne,Historic Site,43.490556,-1.4775
Château de La Motte Tilly,Château de La Motte-Tilly,"Château de La Motte-Tilly is a castle in the commune of La Motte-Tilly, 7 kilometres (4 mi) south-west of Nogent-sur-Seine, Aube, France. It is on the left bank of the Seine and has been open to the public since 1978. The château is managed by the Centre des monuments nationaux.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_La_Motte-Tilly,Monument / Landmark,,
Abbaye du Bec-Hellouin,Abbaye Notre-Dame du Bec,"Notre-Dame du Bec Abbey is a Benedictine Catholic abbey, today part of the congregation of Sainte-Marie du Mont-Olivet and located in Bec-Hellouin, near Brionne, in the Eure department, in Normandy. It was founded in 1034 by Herluin, or Helloin, hence its name, knight of Count Gilbert de Brionne.",https://fr.wikipedia.org/wiki/Abbaye_Notre-Dame_du_Bec,Historic Site,49.2325,0.721666666667
Abbaye de Beaulieu-en-Rouergue,Abbaye de Beaulieu-en-Rouergue,"The Notre-Dame de Beaulieu-en-Rouergue (or Belloc) abbey is a former Cistercian abbey founded in 1144 and which is today a center of contemporary art. It is located in the commune of Ginals in the north-east of the department of Tarn-et-Garonne on the border of the departments of Tarn and Aveyron. Beaulieu-en-Rouergue Abbey, like a hundred other monuments, property of the State, is managed, animated and open to visitors by the Center of National Monuments.",https://fr.wikipedia.org/wiki/Abbaye_de_Beaulieu-en-Rouergue,Monument / Landmark,,
Tours et remparts d’Aigues-Mortes,Remparts d'Aigues-Mortes,"The ramparts of Aigues-Mortes are a masonry enclosure protecting the town center of Aigues-Mortes, in the Gard department, in the Occitanie region.",https://fr.wikipedia.org/wiki/Remparts_d%27Aigues-Mortes,Historic Site,43.5619,4.19684
Trésor de la cathédrale de Lyon,Primatiale Saint-Jean de Lyon,"The Saint-Jean-Baptiste-et-Saint-Étienne primatial church (also known, more simply, as Saint-Jean Cathedral) is the episcopal seat of the archdiocese of Lyon. It has the rank of cathedral and primatial: the archbishop of Lyon has the title of primate of Gaul.",https://fr.wikipedia.org/wiki/Primatiale_Saint-Jean_de_Lyon,Church,45.7607,4.8273
Horloge astronomique de Besançon,Horloge astronomique de Besançon,"The Astronomical Clock of Saint-Jean Cathedral in Besançon is an astronomical clock considered a masterpiece of its kind, built by Auguste-Lucien Vérité in the 19th century. It follows the astronomical clock of Constant Flavien Bernardin, built around 1850-1855, with complicated and defective functioning, which disappeared (or was integrated into that of Vérité) around 1860.",https://fr.wikipedia.org/wiki/Horloge_astronomique_de_Besan%C3%A7on,Historic Site,47.2336,6.0308
Site archéologique de Montcaret,Montcaret,"Montcaret is a French commune located in the Dordogne department, in the Nouvelle-Aquitaine region.",https://fr.wikipedia.org/wiki/Montcaret,Historic Site,44.8594444444,0.0644444444444
Château de Haroué,Château d'Haroué,"The Château des Beauvau-Craon, known as Château d'Haroué, is an 18th century castle located in a small valley in the center of the commune of Haroué, in Saintois, south of Nancy (department of Meurthe-et-Moselle).",https://fr.wikipedia.org/wiki/Ch%C3%A2teau_d%27Harou%C3%A9,Historic Site,48.4656,6.18
Hôtel de la Marine,Hôtel de la Marine,"The Hôtel de la Marine (French pronunciation: ), also known (formerly) as the Hôtel du Garde-Meuble (), is an historic building on the Place de la Concorde in Paris, just east of Rue Royale. It was designed by the architect Ange-Jacques Gabriel and built between 1757 and 1774 on the newly created square first called Place Louis XV. The identical building across the street, constructed at the same time, now houses the Hôtel de Crillon and the Automobile Club of France.",https://en.wikipedia.org/wiki/H%C3%B4tel_de_la_Marine,Historic Site,,
Forteresse de Salses,Forteresse de Salses,"The Salses Fortress is a military structure built between 1497 and 1503 by the Spanish Catholic kings, Ferdinand II of Aragon and Isabella of Castile. It is located in the town of Salses-le-Château, 17 km north of Perpignan, in the Pyrénées-Orientales department.",https://fr.wikipedia.org/wiki/Forteresse_de_Salses,Historic Site,42.839722,2.918333
Château de Talcy,Château de Talcy,"The Château de Talcy is a historical building in Talcy, Loir-et-Cher, France. It lies to the north of the river Loire, in the Loire Valley, known for its 16th-century châteaux. From a fortification in existence in the 13th century additional wings were added in the 1620s. Modernised in the 18th century the interiors have been preserved. A Historical Monument first registered in 1906 it has been owned by the state since 1933. It is open to visitors.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Talcy,Monument / Landmark,,
Crypte et tour de la cathédrale de Bourges,Cathédrale Saint-Étienne de Bourges,"Saint-Étienne de Bourges Cathedral is a Catholic cathedral built between the end of the 12th and the end of the 13th century. Dedicated to Saint Stephen, the first martyr, it is the seat of the archdiocese of Bourges (departments of Cher and Indre).",https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Saint-%C3%89tienne_de_Bourges,Historic Site,47.08222,2.39917
Sites et musée archéologiques de Montmaurin,Arc de triomphe de l'Étoile,"The Arc de Triomphe de l'Étoile, most often called simply the Arc de Triomphe, is a tetrapyl-type monument located in Paris, at a high point at the junction of the territories of the 8th, 16th and 17th arrondissements, notably at the top of the avenue des Champs-Élysées and the avenue de la Grande-Armée, which constitute a major east-west Parisian axis starting from the Louvre pyramid, passing through the obelisk of La Concorde, the Arc de Triomphe itself and ending in the distance with the Arch of La Défense. Its construction, decided by Emperor Napoleon I, began in 1806 and was completed in 1836 under the reign of Louis-Philippe.",https://fr.wikipedia.org/wiki/Arc_de_triomphe_de_l%27%C3%89toile,Monument / Landmark,48.87378,2.29504
Site archéologique de Glanum,Glanum,"Glanum is an ancient city of the Roman Empire, today an archaeological site located in the territory of the commune of Saint-Rémy-de-Provence, in Bouches-du-Rhône.",https://fr.wikipedia.org/wiki/Glanum,Historic Site,43.773805,4.832761
Château de Chareil-Cintrat,Château de Chareil-Cintrat,"The Château de Chareil-Cintrat, also known as the Château du Bas-Chareil, is a late medieval château in France. It is located near Chareil-Cintrat, in the Allier department, Auvergne.",https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Chareil-Cintrat,Historic Site,,
Abbaye de La Sauve-Majeure,Grande-Sauve Abbey,"Grande-Sauve Abbey or Sauve-Majeure Abbey is a former Benedictine monastery near the present village of La Sauve in the France department of the Gironde, in a region once heavily forested. Although now in ruins, the remains of the abbey are still of great interest in terms of Romanesque architecture, especially because of the many sculpted capitals still surviving.",https://en.wikipedia.org/wiki/Grande-Sauve_Abbey,Historic Site,,
Fort Saint-André,Fort Saint-André (Villeneuve-lès-Avignon),"The Fort Saint-André is a medieval fortress in the commune of Villeneuve-lès-Avignon in the Gard département of France, dating from the first half of the 14th century.",https://en.wikipedia.org/wiki/Fort_Saint-Andr%C3%A9_(Villeneuve-l%C3%A8s-Avignon),Historic Site,,
Maison Ernest Renan,Musée Ernest-Renan,"The Ernest-Renan museum is located at 20 rue Ernest-Renan in Tréguier, in the French department of Côtes-d'Armor. Dedicated to the Breton writer and philosopher Ernest Renan, it is installed in his birthplace.",https://fr.wikipedia.org/wiki/Mus%C3%A9e_Ernest-Renan,Museum,48.7883,-3.22866
