name,url,short_description,ticket_price,ticket_price_conditions,opening_hours,payment_methods,address,visiting_services,ticket_price_raw
Château de Vincennes,https://www.chateau-de-vincennes.fr/,"At the gates of Paris, visit the Château de Vincennes, a witness to medieval architecture.",13.0,Free for those under 26 years old,"From May 21st to September 21st
10:00 AM - 6:00 PM
From September 22nd to May 20th
10:00 AM - 5:00 PM
Note: The last access is 45 minutes before the monument closes.
Monument closure
Total monument closure on January 1st, May 1st, December 25th.
Temporary closure of the Sainte-Chapelle: The Sainte-Chapelle is temporarily closed during lunchtime between 12:00 PM and 2:00 PM or 1:00 PM and 2:00 PM. It is strongly recommended to consult our opening hours on the homepage.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"Tour des salves, Cour des Maréchaux, 75012 Paris","Children under 16 must be accompanied by an adult. | Bookstore-shop. | Toilets in the courtyard of the dungeon and at the end of the shop (accessible only with the monument ticket). | Dogs are prohibited, except for guide and assistance dogs. | Strollers are not allowed within the monuments (possibility of leaving them outside). | Bags allowed: 30 cm x 40 cm x 15 cm. As the monument is a military site, there is no luggage storage. | No eating or drinking (picnics are prohibited). | No smoking on the entire site, both inside and outside the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places where children and adolescents can be present or exposed, such as public parks and gardens, are smoke-free.",Price: 13 €
Tour Pey-Berland,https://www.pey-berland.fr/,Enjoy a panoramic view of Bordeaux from this Gothic flamboyant landmark.,9.0,Free for those under 26 years old,"From May 26th to September 28th, 2025
10:00 AM - 6:00 PM
Open every day
From September 29th, 2025 to the end of May 2026
10:00 AM - 12:30 PM and 2:00 PM - 5:30 PM
Open every day
Limited capacity, access exclusively with timed e-tickets booked in advance.
Free visits on the first Sundays of November to March, and for European Heritage Days (third weekend of September), cancel your tickets for your time slot at the box office on Saturday.
Annual closures: January 1st, May 1st, and December 25th",Cash | Bank card (except American Express) | Cheque | Holiday Cheque (ANCV) | Culture Cheque (on products in the shop),"Place Pey-Berland, 33000 Bordeaux","Access to the top of the tower requires good health. | 2 observation terraces (40m and 50m). | Panorama of the entire city. | Staircase with 231 steps. | Free visitor guide (available in Chinese, Dutch, English, Spanish, French, German, Italian, Japanese, and Russian). | Bookstore-shop. | Public toilets on Place Pey-Berland (near the newspaper kiosk), accessible to people with reduced mobility.",Price: 9 €
Hôtel de Sully,https://www.hotel-de-sully.fr/,"In the heart of the Marais district in Paris, discover the courtyard and garden of Hôtel de Béthune-Sully, as well as its library!",0.0,The courtyard and garden are free to access.,"Courtyard and garden of Hôtel de Sully
Every day
9am - 7pm
Library of Hôtel de Sully
1pm - 7pm
Closed on Mondays
Hotel de Sully closed on January 1st, May 1st, November 1st and 11th, and December 25th",,"62 rue Saint-Antoine, 75004 Paris",Hôtel de Sully is the seat of the Centre des monuments nationaux. The interiors are closed to the public except for exceptional visits. | It is possible to cross the courtyard and garden every day to access Place des Vosges.,Price: free
Hôtel de Sade,https://www.hotel-de-sade.fr/,"In the heart of Saint-Rémy-de-Provence, discover the private hotel of the de Sade family!",5.0,Free for under 26 years old.,"From June to September
Open every day except Monday
9:30 AM - 1:00 PM and 2:00 PM - 6:00 PM
Note: Last access to the monument 30 minutes before closing.",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV) | Lire cheques (only in the shop),"1, rue du Parage, 13210 Saint-Rémy-de-Provence","Dogs are not allowed, except guide and assistance dogs | Large backpacks and rolling suitcases are prohibited | No changing rooms or lockers | No climbing on the archaeological remains | No picnicking in the monument | No smoking throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas. | Correct attire required",Price: 5 €
Chapelle des moines de Berz-la-Ville,https://www.chapelle-des-moines.fr/,Visit the Romanesque chapel of a Cluniac priory with exceptional frescoes.,5.0,Free for under 26s,"Subject to our own changes - please verify at 03 85 59 15 93.
April
Open Saturdays and Sundays
9:45 AM - 12:15 PM and 2:15 PM - 7:30 PM
May to August
Exceptional closure on Sunday, May 4th (day off)
Open Thursdays, Fridays, Saturdays and Sundays
9:15 AM - 12:15 PM and 2:15 PM - 6:00 PM
September
Open Thursdays, Fridays, Saturdays and Sundays
9:45 AM - 12:15 PM and 2:15 PM - 7:30 PM
October
Open Saturdays and Sundays
9:15 AM - 12:15 PM and 2:15 PM - 7:00 PM
November to March
Closed",,"71960 Berz-la-Ville, 03 85 36 66 52","Bookshop-shop | Dogs in assistance kept on leads are authorized | Strollers are authorized | Photos are authorized without flash | No luggage lockers are offered within the monuments | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places open to the public outside where children and adolescents may be present or exposed, such as parks and public gardens, become smoke-free areas.",Price: 5 €
Château de Bussy-Rabutin,https://www.chateau-bussy-rabutin.fr/,"Meet one of the most flamboyant courtiers of the great Louis XIV, Count Roger de Bussy-Rabutin, and his home, decorated like a grand-scale comic strip!",9.0,Free for those under 26 years old,"From May 15th to September 14th
9:15 AM - 1:00 PM and 2:00 PM - 6:00 PM
From September 15th to May 14th
9:15 AM - 12:00 PM and 2:00 PM - 5:00 PM
Attention:
Last access to the monument, one hour before closing.
Closed on January 1st, May 1st, November 1st, November 11th, and December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"rue du château, 21150 Bussy-le-Grand",,Price: 9 €
Château de Bouges,https://www.chateau-bouges.fr/,Step into the charm of Château de Bouges and its XVIIIth century atmosphere.,9.0,Free for under 26s,"Castle
Visit only on weekends
From March 1st to 31st
11am; 3pm; 4pm
Only on Saturdays and Sundays
From April 1st to June 30th
11am; 3:15pm; 4:30pm
Closed on Tuesdays
From July 1st to August 31st
11am; 12pm; 2:15pm; 3:15pm; 4:15pm; 5:15pm
Open every day
From September 1st to October 31st
11am; 3:15pm; 4:30pm
Closed on Tuesdays
November
11am; 3pm; 4pm
Only on Saturdays and November 1st and 11th
Park, gardens and outbuildings (stables, armories, carriages)
Visit with document provided at the reception
From March 1st to 31st
10am - 12pm and 2pm - 5pm
Open only on Saturdays and Sundays
From April 1st to June 30th
10am - 12pm and 2pm - 6pm
Closed on Tuesdays
From July 1st to August 31st
10am to 6:45pm with the possibility of picnicking in the park
Open every day
From September 1st to October 31st
10am - 12pm and 2pm - 6pm
Closed on Tuesdays
November
10am - 12pm and 2pm - 5pm
Open only on Saturdays and Sundays, November 1st and 11th

Note: Last access 45 minutes before closing.
Closed from December (except events) January and May 1st.",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV) | shop cheques (only in the shop),"15 rue du château, 36110 Bouges-le-Château","Shop | Dogs are allowed only on a leash in the park | Strollers are allowed in the park, not allowed in the castle | Park and garden closed in case of weather alert | Photos are allowed in the castle without flash | Do not touch the artworks | No smoking on the entire site, both indoors and outdoors of the monument
In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas.",Price: 9 €
Colonne de Juillet,https://www.colonne-de-juillet.fr/,Discover a monument commemorating the defense of public liberties by the citizens.,13.0,Reduced rate: 6 €,"Monument accessible for guided tours only
Saturdays and Sundays at 2:30 PM and 4:30 PM
By prior reservation
Reopening from Saturday July 19th",,"Place de la Bastille, 75011 Paris",1.5-hour guided tour in French with a guide-lecturer (no free visit) | 18 participants per tour | Welcome and start of the tour in the courtyard of the Hôtel de Sully (62 rue St Antoine - 75004 Paris) 10 minutes before the start of the tour | Only the necropolis of the Column of July will be accessible during this tour (no access to the upper parts of the monument),Price: 13 €
Conciergerie,https://www.paris-conciergerie.fr/,Discover this medieval royal palace that became a revolutionary tribunal and the prison of Marie-Antoinette.,13.0,Free for those under 26 years old,"From January 1st to December 31st
9:30 AM - 6:00 PM
Last entry to the monument at 5:30 PM
Closed on May 1st and December 25th
Tablets Histopad are available until 4:15 PM.",,"2, boulevard du Palais, 75 001 Paris","Motorcycle helmets | Aerosols | Knives and sharp objects | Scissors | Glass bottles | Bags/large luggage | Bicycles, skateboards and roller skates",Price: 13 €
Cathédrale Notre-Dame d'Amiens,https://www.cathedrale-amiens.fr/,"Visit the Amiens Cathedral, one of the finest examples of Gothic religious art.",7.0,Free for under 26s,"From October 1st to March 31st
 Tower circuit 2pm, 3pm, 4pm
 Closed on Tuesdays and during religious ceremonies
 Treasure visit 11am
 Closed on Tuesdays, Sundays and during religious ceremonies
 Shop open 10am to 5:30pm, 7 days a week
 From April 1st to September 30th
 Tower circuit 2pm, 2:45pm, 3:30pm, 4:15pm, 4:45pm
 Closed on Tuesdays and during religious ceremonies
 Treasure visit 11am, every day except Tuesday and Sunday
 2pm, every day except Tuesday
 Closed on Tuesdays and during religious ceremonies
 Shop open 10am to 6:30pm, 7 days a week
 Note:
For security reasons, weather conditions may temporarily lead to the closure of the tower circuit.
Exceptional closure on January 1st, May 1st, December 25th and the last Sunday of September.
",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV) (only for entry rights) | Lire cheques (only in the shop) | Culture Pass (group reservations),"30, place Notre-Dame, 80000 Amiens",Weather conditions may temporarily lead to the closure of the tower circuit for security reasons | Access to the towers is prohibited for children under 6 years old and animals | The tower circuit is strongly discouraged for people with heart problems and pregnant women (302 steps) | You must wear suitable shoes: the 302 steps to climb are over 800 years old (the monument team reserves the possibility of refusing entry to visitors whose shoes are not suitable) | Photos and videos are prohibited in the treasure room,Price: 7 € / 5 €
Château d'Azay-le-Rideau,https://www.azay-le-rideau.fr/,"In Touraine, visit a jewel of French Renaissance architecture, fortified under the patronage of Francis I.",13.0,Free for those under 26 years old,"From October 1st to March 31st
10:00 AM - 5:15 PM
From April 1st to June 30th
9:30 AM - 6:00 PM
From July 1st to August 31st
9:30 AM - 7:00 PM
From September 1st to September 30th
9:30 AM - 6:00 PM
ATTENTION: Last access to the monument, one hour before closing.
Closed on January 1st, May 1st, and December 25th.
Exceptionally closed at 4:15 PM on December 24th and 31st (last passage at the cash desk at 3:15 PM).

Exceptionally closed at 10:30 PM on December 13th, 2025, as part of the ‘Nocturne au pays des châteaux’ event. Reservation required",,"19, rue Balzac, 37190 Azay-le-Rideau","Dogs are allowed, kept on a leash in the park and in a transport bag in the castle. | Strollers are allowed in the park, not allowed in the castle. | Baby equipment available (changing table, bottle warmer, etc.) | Photography is allowed in the castle without flash. | Restaurant/salon de thé ‘Le Lavoir’ open from Easter to end of September. | Picnics are not allowed within the perimeter of the monument. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places open to the public outside where children and adolescents may be present or exposed, such as parks and public gardens, become smoke-free areas.",Price: 13 €
Château de Maisons,https://www.chateau-maisons.fr/,"Between Paris and Versailles, visit the Château de Maisons, a masterpiece of the Grand Siècle.",9.0,Free for under 26s,"From May 16th to September 15th
10am - 6pm
From November 14th to March 2nd, 2026 inclusive
10am - 6pm
From March 4th to May 15th, 2026
10am-12:30pm and 2pm-5pm
Note: The monument is closed on Tuesdays throughout the year.
Last access to the monument 30 minutes before closing.
Annual closures on January 1st, May 1st and December 25th.
First Sunday of December 2025 to March 2026 - Free",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV) | Lire cheques (only in the shop),"2, avenue Carnot, 78600 Maisons-Laffitte","Pets are not allowed, except for assistance dogs | Prams are not allowed inside the monument | In accordance with Vigipirate guidelines, access to the site is preceded by a visual inspection of bags | Access to the site is not allowed with suitcases or large bags, and the monument does not take any luggage in deposit | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor areas where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas. | Waste bins | Toilets | Bookshop-shop",Price: 9 €
Abbaye de Montmajour,https://www.abbaye-montmajour.fr/,"At the heart of the Arles region, visit the Abbey of Montmajour, founded in 948 by Benedictine monks.",7.0,Free for under 26s,"From April 1st to May 31st
10am - 5pm
Last access one hour before the monument closes.
From June 1st to September 30th
10am - 6:15pm
Last access to the monument at 5pm.
From October 1st to March 31st
10am - 5pm
Closed on Mondays
Last access to the monument one hour before closing.
Closed on January 1st, May 1st, November 11th and December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"route de Fontvieille, 13200 Arles","Correct attire required (torso bare, barefoot and swimwear prohibited) | Strollers allowed | Dogs not allowed (except assistance dogs) | Stools for photos and drones are prohibited | In case of storm, rain or strong wind, or extreme heat, the outdoor areas (necropole, tower, terrace) may be closed. | Uneven floor | Numerous steps: 125 steps to access the tower, 40 steps to access the Saint Pierre hermitage. | The abbey does not have lockers, backpacks and suitcases are prohibited within the monument's grounds. | Knives and aerosols are prohibited. | During periods of extreme heat, please bring a bottle of water (a water point is available along the tour route) and a hat. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places open to the public outdoors where children and adolescents may be present or exposed, such as parks and public gardens, become smoke-free areas.",Price: 7 €
Abbaye du Thoronet,https://www.le-thoronet.fr/,"Visit Thoronet, one of the most remarkable abbeys from the Cistercian order.",9.0,Free for under 26s,"The abbey will be exceptionally closed to the public on January 16, 2026, thank you for your understanding.
From April 1st to September 30th
10:00 AM - 6:30 PM
From October 1st to March 31st
10:00 AM - 1:00 PM and 2:00 PM - 5:00 PM
Last access to the monument, 45 minutes before closing.
Note: Anticipated closure on December 24th and 31st at 4:00 PM.
Closed on January 1st, May 1st, November 1st, November 11th and December 25th.",cash | credit cards | cheques | culture cheques | holiday cheques (ANCV) | Lire cheques (only in the shop),"RD 79, 83340 Le Thoronet","Dogs are not allowed to enter (including in specific bags). Only guide dogs for the blind or therapy dogs are accepted (with presentation of an attestation). | Fast food restaurant service at the abbey kiosk (parking) | Unsecured parking | Picnic area next to the visitor parking area | Smoking is prohibited throughout the site, both inside and outside the monument. In accordance with Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places open to the public outside where children and adolescents may be present or exposed, such as public parks and gardens, are now smoke-free.",Price: 9 €
Panthéon,https://www.paris-pantheon.fr/,"On the Montagne Sainte-Geneviève in Paris, visit the Panthéon, a masterpiece by architect Soufflot.",13.0,Free for under 26s,"From April 1st to September 30th
10:00 AM - 6:30 PM
From October 1st to March 31st
10:00 AM - 6:00 PM
Note: Last access to the monument 45 minutes before closing.
Open seven days a week (see closure schedule)","cash | bank cards | cheques | Culture cheques (UP only) - paper format only (not debited)
Culture cheques (ANCV) - paper format only (not debited)
Vacation cheques (ANCV) - paper format only (not debited)","Place du Panthéon, 75005 Paris","The monument does not have a baggage or cloakroom. Only standard backbacks are accepted.
Hats are not allowed.
Batteries are not allowed (scooters, etc.)
Accessible ramp outside for PMR (wheelchair users), and inside elevator giving access to the entirety of the nave.
Strollers are allowed.
Scooters, roller skates, skateboards are prohibited.
Food and drinks are prohibited.
Dogs are not allowed within the gates of the Panthéon, except for guide dogs and assistance dogs.
Personal photographs are allowed (non-commercial use only), tripods are prohibited.
Drones are prohibited.
Professional photographs (LinkedIn, etc.), class photographs, wedding photographs and event photographs are prohibited inside the monument and an authorization is required for the outside of the Panthéon.
Filming is only permitted with prior authorization.",Price: 13 €
