name,url,short_description,ticket_price,ticket_price_conditions,opening_hours,payment_methods,address,visiting_services,ticket_price_raw
Château et remparts de la Cité de Carcassonne,https://www.remparts-carcassonne.fr/,"En pays audois, au cœur de la cité de Carcassonne, découvrez le château et ses remparts inscrits au patrimoine mondial de l'humanité de l'Unesco.",13.0,Gratuit pour les - de 26 ans,"Du 1er avril au 30 septembre
10h - 18h30
Dernier accès : 17h30
 Du 1er octobre au 31 mars
9h30 - 17h
Dernier accès : 16h 
Fermeture les 1er janvier, 1er mai et 25 décembre
Dernier accès au monument, 1 heure avant la fermeture.

Le monument est gratuit lors des Journées Européennes du patrimoine (le 3ème weekend de septembre) et le 1er dimanche du mois (du 1er janvier au 31 mars et du 1er novembre au 31 décembre).",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique) | Pass Culture,"1, rue Viollet-le-Duc, 11000 Carcassonne",Visite autonome | Visite découverte | Visite privilège | Visite conférence | Interdit aux animaux (sauf chiens guide et chiens d'assistance) | Interdiction de toucher les œuvres exposées dans le château | Photos autorisées sans flash dans le château | Parking à poussettes | Valises non autorisées | Toilettes | Librairie-boutique,Tarif : 13 €
Château de Vincennes,https://www.chateau-de-vincennes.fr/,"Aux portes de Paris, visitez le château de Vincennes, témoin de l'architecture médiévale.",13.0,Gratuit pour les - de 26 ans,"Du 21 mai au 21 septembre
10h - 18h
Du 22 septembre au 20 mai
10h - 17h
À noter : Le dernier accès se fait 45 minutes avant la fermeture du monument. 
Fermeture du monument
Fermeture totale du monument les 1er janvier, 1er mai, 25 décembre. 
Fermeture temporaire de la Sainte-Chapelle : La Sainte-Chapelle ferme tous les jours temporairement à la pause méridienne entre 12h et 14h ou 13h et 14h. Il est fortement recommandé de consulter nos horaires d'ouverture sur la page d'accueil.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"Tour des salves, Cour des Maréchaux, 75012 Paris","Les enfants de moins de 16 ans doivent être accompagnés d'un adulte. | Librairie-boutique. | Toilettes dans la cour du donjon et au fond de la boutique (accessibles uniquement avec le billet du monument). | Interdit aux chiens à l'exception des chiens guides et d'assistance. | Les poussettes ne sont pas autorisées dans l’enceinte des monuments (possibilité de les laisser à l’extérieur). | Bagages autorisés : 30 cm x 40 cm x 15 cm. Le monument étant un site militaire, il n'y a pas de consigne. | Interdiction de manger et boire (pique-niques interdits). | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Des canne sièges sont disponibles sur demande à la billetterie-boutique, à l'entrée de la Sainte-Chapelle et du Donjon.",Tarif : 13 €
Tour Pey-Berland,https://www.pey-berland.fr/,Profitez d'une vue panoramique sur Bordeaux depuis un fleuron du gothique flamboyant.,9.0,Gratuit pour les - de 26 ans,"Du 26 mai au 28 septembre 2025
10h - 18h
Ouvert tous les jours
Du 29 septembre 2025 à la fin mai 2026
10h - 12h30 et 14h - 17h30
Ouvert tous les jours
Jauge limitée, accès exclusivement avec e-billets horodatés à réserver à l'avance.
Pour les visites les 1ers dimanches du mois gratuits (de novembre à mars), et pour les Journées Européennes du Patrimoine (3ème weekend de Septembre), retirez vos places pour votre créneau horaire en caisse dès le samedi.
Fermetures annuelles : 1er janvier, 1er mai et 25 décembre",Espèces | Carte bancaire (sauf American express) | Chèque | Chèque-vacances (ANCV) | Chèque Culture (sur les produits en boutique),"Place Pey-Berland, 33000 Bordeaux","L'accès au sommet de la tour nécessite un bon état de santé. | 2 terrasses d'observation (40m et 50m). | Panorama sur toute la ville. | Escalier en vis de 231 marches. | Document de visite gratuit (disponible en chinois, néerlandais, anglais, espagnol, français, allemand, italien, japonais et russe). | Librairie-boutique. | Toilettes publiques sur la place Pey-Berland (proche kiosque à journaux), accessibles aux personnes à mobilité réduite.",Tarif : 9 €
Hôtel de Sully,https://www.hotel-de-sully.fr/,"Au cœur du quartier du Marais, à Paris, découvrez la cour et le jardin de l'Hôtel de Béthune-Sully, sans oublier sa librairie !",0.0,La cour et le jardin sont en libre accès.,"Cour et jardin de l'Hôtel de Sully
Tous les jours
9h - 19h
Librairie de l'Hôtel de Sully
13h - 19h
Fermée le lundi
Fermeture de l'Hôtel de Sully les 1er janvier, 1er mai, 1er et 11 novembre, et 25 décembre",,"62 rue Saint-Antoine, 75004 Paris",L'Hôtel de Sully est le siège du Centre des monuments nationaux. Les intérieurs sont fermés au public sauf dans le cadre de visites exceptionnelles. | Il est possible de traverser la cour et le jardin tous les jours pour accéder à la place des Vosges.,Tarif : gratuit
Hôtel de Sade,https://www.hotel-de-sade.fr/,"Au cœur de Saint-Rémy-de-Provence, découvrez l'hôtel particulier de la famille de Sade !",5.0,Gratuit pour les - de 26 ans.,"De juin à septembre 
Ouvert tous les jours, sauf le lundi 
9h30 - 13h et 14h - 18h
 À noter : dernier accès au monument 30 minutes avant la fermeture.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"1, rue du Parage, 13210 Saint-Rémy-de-Provence","Chiens interdits, sauf guides et d'assistance | Grands sacs à dos et valises à roulettes interdites | Pas de vestiaires, ni consignes | Interdiction de monter sur les vestiges archéologiques | Interdiction de pique-niquer dans le monument | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Tenue correcte exigée",Tarif : 5 €
Chapelle des moines de Berzé-la-Ville,https://www.chapelle-des-moines.fr/,Visitez la chapelle romane d’un prieuré clunisien aux fresques exceptionnelles.,5.0,Gratuit pour les - de 26 ans,"Sous réserve de modifications indépendantes de notre volonté – merci de vérifier au 03 85 59 15 93.
Avril 
Ouvert les samedis et dimanches 
9h45 - 12h15 et 14h15 - 17h30
De mai à août
Fermeture exceptionnelle le dimanches 4 mai (journée)
Ouvert les jeudis, vendredis, samedis et dimanches 
9h15 - 12h15 et 14h15 - 18h
Septembre
Ouvert les jeudis, vendredis, samedis et dimanches 
9h45 - 12h15 et 14h15 - 17h30
Octobre 
Ouvert les samedis et dimanches
9h15 - 12h15 et 14h15 - 17h
De novembre à mars 
Fermé",,"71960 Berzé-la-Ville, 03 85 36 66 52","Librairie-boutique | Chiens d'assistance tenus en laisse autorisés | Poussettes autorisées | Photos autorisées sans flash | Aucune consigne à bagages n'est proposée dans l'enceinte des monuments | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 5 €
Château de Bussy-Rabutin,https://www.chateau-bussy-rabutin.fr/,"Partez à la rencontre d’un des plus flamboyants courtisans du grand Louis XIV, le comte Roger de Bussy-Rabutin, et de sa demeure à la décoration digne d’une bande-dessinée grandeur nature !",9.0,Gratuit pour les - de 26 ans,"Du 15 mai au 14 septembre
9h15 - 13h et 14h - 18h
Du 15 septembre au 14 mai
9h15 - 12h et 14h - 17h
Attention :
Dernier accès au monument, une heure avant la fermeture.
Fermeture les 1er janvier, 1er mai, le 1er novembre, le 11 novembre et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"rue du château, 21150 Bussy-le-Grand",,Tarif : 9 €
Château de Bouges,https://www.chateau-bouges.fr/,Goûtez au charme du château de Bouges et à son atmosphère du XVIIIe siècle.,9.0,Gratuit pour les - de 26 ans,"Château
Visite uniquement commentée
Du 1er au 31 mars 
11h ; 15h ; 16h
Uniquement les samedis et dimanches
Du 1er avril au 30 juin 
11h ; 15h15 ; 16h30 
Fermé les mardis
Du 1er juillet au 31 août
11h ; 12h ; 14h15 ; 15h15 ; 16h15 ; 17h15 
Ouvert tous les jours
Du 1er septembre au 31 octobre 
11h ; 15h15 ; 16h30
Fermé les mardis
Novembre 
11h ; 15h ; 16h
Uniquement les samedis et dimanches, 1er et 11 novembre
 Parc, jardins et communs (écuries, selleries, voitures hippomobiles)
Visite avec document mis à votre disposition à l'accueil
Du 1er au 31 mars 
10h - 12h et 14h - 17h
Ouvert uniquement les samedis et dimanches
Du 1er avril au 30 juin 
10h - 12h et 14h - 18h 
Fermé les mardis
Du 1er juillet au 31 août 
10h à 18h45 avec possibilité de pique-niquer dans le parc
Ouvert tous les jours
Du 1er septembre au 31 octobre
10h - 12h et 14h - 18h
Fermé les mardis
Novembre 
10h - 12h et 14h - 17h
Ouvert uniquement les samedis et dimanches, 1er et 11 novembre

À noter : dernier accès 45 min avant la fermeture.
Fermé de décembre (sauf si évènements) à février et le 1er mai.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"15 rue du château, 36110 Bouges-le-Château","Boutique | Chiens autorisés uniquement tenus en laisse dans le parc | Poussettes autorisées dans le parc, non autorisées dans le château | Parc et jardin fermés en cas d’alerte météo | Photos autorisées dans le château sans flash | Ne pas toucher aux œuvres | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument
En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 9 €
Colonne de Juillet,https://www.colonne-de-juillet.fr/,Découvrez un monument commémorant la défense des libertés publiques par les citoyens.,13.0,Tarif réduit : 6 €,"Monument accessible en visite commentée uniquement
Les samedis et dimanches à 14h30 et 16h30 
Sur réservation préalable
Réouverture à partir du samedi 19 juillet",,"Place de la Bastille, 75011 Paris",Visite commentée d'1h30 en français avec un guide-conférencier (pas de visite libre) | 18 participants par visite | Accueil et début de la visite dans la cour de l’Hôtel de Sully (62 rue St Antoine - 75004 Paris) 10 minutes avant le début de la visite | Seule la nécropole de la colonne de Juillet sera accessible pendant cette visite (pas d'accès aux parties hautes du monument),Tarif : 13 €
Conciergerie,https://www.paris-conciergerie.fr/,Découvrez ce palais médiéval royal devenu tribunal révolutionnaire et prison de Marie-Antoinette.,13.0,Gratuit pour les - de 26 ans,"Du 1er janvier au 31 décembre
9h30 - 18h
Dernier accès au monument à 17h30
Fermeture les 1er mai et 25 décembre
Les tablettes Histopad sont délivrées jusqu'à 16h15.",,"2, boulevard du Palais, 75 001 Paris","Casques de moto | Aérosols | Couteaux et objets tranchants | Ciseaux | Bouteilles en verre | Bagages/sacs volumineux | Trottinettes, planches à roulettes et rollers",Tarif : 13 €
Cathédrale Notre-Dame d'Amiens,https://www.cathedrale-amiens.fr/,"Visitez la cathédrale d'Amiens, l'un des plus beaux exemples d'art sacré gothique.",7.0,Gratuit pour les - de 26 ans,"Du 1er octobre au 31 mars
 Circuit des tours  14h, 15h, 16h
Fermé le mardi et lors des cérémonies religieuses
 Visite du trésor  11h
Fermé le mardi, le dimanche et lors des cérémonies religieuses
 Boutique ouverte de 10h à 17h30, 7j/7
 Du 1er avril au 30 septembre
Circuit des tours  14h, 14h45, 15h30, 16h15, 17h
Fermé le mardi et lors des cérémonies religieuses
Visite du trésor  
11h, tous les jours sauf le mardi et le dimanche
14h, tous les jours sauf le mardi
Fermé le mardi et lors des cérémonies religieuses
Boutique ouverte de 10h à 18h30, 7j/7
À noter :
Pour des raisons de sécurité, les conditions climatiques peuvent entraîner la fermeture momentanée du circuit des tours.

Fermeture exceptionnelle les 1er janvier, 1er mai, 25 décembre et le dernier dimanche de septembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) (uniquement pour les droits d'entrée) | chèque Lire (uniquement en boutique) | Pass culture (réservation de groupes),"30, place Notre-Dame, 80000 Amiens",Les conditions climatiques peuvent entraîner pour des raisons de sécurité la fermeture momentanée du circuit des tours | L'accès aux tours est interdit aux enfants de moins de 6 ans et aux animaux | Le circuit des tours est fortement déconseillé aux personnes souffrant de problèmes cardiaques et aux femmes enceintes (302 marches) | Prévoir obligatoirement des chaussures adaptées : les 302 marches à monter ont plus de 800 ans (l'équipe du monument se réserve la possibilité de refuser l'entrée aux visiteurs dont les chaussures ne sont pas adaptées) | Photos et vidéos interdites dans la salle du trésor,Tarif : 7 € / 5 €
Château d'Azay-le-Rideau,https://www.azay-le-rideau.fr/,"En Touraine, visitez un joyau de la Renaissance française édifié sous le patronage de François Ier.",13.0,Gratuit pour les - de 26 ans,"Du 1er octobre au 31 mars
10h - 17h15
Du 1er avril au 30 juin
9h30 - 18h
Du 1er juillet au 31 août
9h30 - 19h
Du 1er au 30 septembre
9h30 - 18h
 ATTENTION : dernier accès au monument, une heure avant la fermeture.
Fermeture les 1er janvier, 1er mai et 25 décembre.
Fermeture exceptionnelle à 16h15 les 24 et 31 décembre (dernier passage en caisse à 15h15).

Fermeture exceptionnelle à 22h30 le 13 décembre 2025 dans le cadre de la nocturne proposée à l'occasion de l'événement Noël au pays des châteaux. Réservation obligatoire",,"19, rue Balzac, 37190 Azay-le-Rideau","Chiens autorisés tenus en laisse dans le parc et en sac de transport dans le château. | Poussettes autorisées dans le parc, non autorisées dans le château. | Equipements bébé disponibles (table à langer, chauffe-biberon ...) | Photos autorisées dans le château sans flash. | Restaurant/salon de thé ""Le Lavoir"" ouvert de Pâques à fin septembre. | Pique-niques non autorisés dans l'enceinte du monument. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 13 €
