name;address;nature;nightlife;drink;music;dance;history;sports;art;museum;walk;restaurant;movie
Saint Andrews;9 rue Brunel;;;1;;;;;;;;;
Place de la Porte de Versailles;Place de la Porte de Versailles;;;;;;;;;;1;;
Promenade plantée (Coulée verte);La Coulée Verte;1;;;;;;;;;1;;
The 7th Bar;12 rue Joseph de Maistre;;1;1;1;;;;;;;;
Jardin Yitzhak Rabin;38 rue Paul Belmondo;1;;;;;;;;;1;;
Rue Michel-ange;Rue Michel-Ange;;;;;;;;;;1;;
"Le Mur des ""Je t'aime""";Place des Abbesses;;;;;;;;1;;;;
Novotel Lounge Bar View;257 rue de Vaugirard;;;1;;;;;;;;;
Café Chabalier;58/60 Rue de Bercy;;;1;;;;;;;;1;
Court n°7;Stade Roland-Garros;;;;;;;1;;;;;
Le Petit Bain;7 Port de la Gare;;;1;;;;;;;;;
Passerelle Des Meuniers;2 rue des Meuniers;;;;;;;;;;1;;
Théâtre de Verdure;Jardin Shakespeare, Pré Catelan, Bois de Boulogne;;;;1;;;;;;;;
Fumoir in the Street;125 rue de Saussure;;;;;;;;;;;;
Red House;1 Bis Rue de la Forge Royale;;1;1;1;;;;;;;;
MJC Les Hauts de Belleville;43 rue du Borrégo;;;;1;1;;;;;;;
Bateau Nix Nox;Quai de la gare;;1;1;1;1;;;;;;;
Église Notre Dame de l'Espérance;Rue de la Roquette;;;;;;1;;1;;;;
Bar du Shangri-La Hotel;10 Avenue d'Iéna;;;1;;;;;;;;;
Quartier de Belleville;Belleville;;;;;;;;;;1;1;
Belvedere des Buttes Chaumont;Parc des Buttes Chaumont;;;;;;;;;;1;;
7ème Arrondissement;7ème Arrondissement;;;;;;;;;;1;;
11ème Arrondissement;11ème Arrondissement;;;;;;;;;;1;;
Sam and Don Agency;32 rue fontaine;;;;;;;;;;;;
Centre Sportif Cardinal Lavigerie;Place Cardinal Lavigerie;;;;;;;1;;;;;
Pont des Invalides;Pont des Invalides;;;;1;;;;;;1;;
We Love Green Festival;Parc de Bagatelle;;;;1;;;;;;;;
Porte de Clignancourt;Porte de Clignancourt;;;;;;;;;;1;;
VIP Club;Diamond's Paradise;;1;1;1;1;;;;;;;
L'Adada Bar;15 Rue du Maine;;;1;;;;;;;;;
Trocadéro Ozu Club;5 avenue Albert de Mun;;1;1;1;1;;;;;;;
In Out;241 rue du Faubourg Saint-Antoine;;1;1;1;1;;;;;;;
L'Ébéniste du Vin;72 rue Boursault;;;1;;;;;;;;;
Parc Avenue Foch;44 Avenue Foch;1;;;;;;;;;1;;
Le Kremlin;6 rue André Antoine;;1;1;;;;;;;;;
Rue des Trois Bornes;Rue des Trois Bornes;;;;;;;;;;;1;
Parvis du Sacré-Cœur;Rue du Cardinal Dubois;;;;;;1;;;;1;;
Le Standard;2, Place de la Porte Maillot;;1;1;1;1;;;;;;;
Mercure Paris Centre Tour Eiffel;20 rue Jean Rey;;;1;;;;;;;;;
L'Inconnu;17 rue de Mazagran;;1;1;;;;;;;;;
Bistrot Labie;5 rue Labie;;;;;;;;;;;1;
Le Supercoin;3 Rue Baudelique;;;1;;;;;;;;;
W Lounge;4 rue Meyerbeer;;1;1;;;;;;;;;
Place du Louvre;Place du Louvre;;;;;;;;;1;1;;
La Piscine Saint Louis;2 rue Juliette Dodu;;;1;;;;;;;;;
Moon Roof;34 Quai d'Austerlitz;;;1;;;;;;;;1;
Bistrot Des Fistons;15 Rue Du Champs De Mars;;;1;;;;;;;;1;
Le Dernier Bar avant la Fin du Monde;19 Avenue Victoria;;;1;;;;;;;;;
Le Calbar;82 Rue de Charenton;;1;1;;;;;;;;;
Rosie;3 Rue Muller;;;1;;;;;;;;;
Le Robinet d'Or;17 Rue Robert Blache;;;;;;;;;;;;
La Fût Gueuze;24 Rue Dumeril;;;1;;;;;;;;1;
Musée d'Art Moderne (MAM);11 Avenue du Président Wilson;;;;;;;;1;1;;;
Glass;7 rue Frochot;;;1;;;;;;;;;
Chez Papillon;49 Rue de Ponthieu;;1;1;1;1;;;;;;;
Workshop Paris;173 Rue Saint-Martin;;;1;;;;;;;;;
Le Nüba;36 Quai d'austerlitz;;;1;;;;;;;;;
Sherry Butt;20 rue Beautreillis;;1;1;;;;;;;;;
Au Bon Accueil;64 Rue Alexandre Dumas;;;1;;;;;;;;;
Titty-Twister;5 rue de Berri;;1;1;1;1;;;;;;;
INSEP - Institut National du Sport, de L'Expertise et de la Performance | Salle M.T. Eyquem;11, avenue du Tremblay;;;;;;;1;;;;;
Little Red Door;60 rue Charlot;;1;1;;;;;;;;;
L'Éclair;32 Rue Cler;;1;1;;;;;;;;;
Le Dandy;26 rue Pierre Fontaine;;1;1;1;1;;;;;;;
14ème Arrondissement;14ème Arrondissement;;;;;;;;;;1;;
La Manufacture;62 Avenue Des Gobelins;;;1;;;;;;;;;
Le Bouillon St Stefanus;96 Rue De Ménilmontant;;;1;;;;;;;;;
O'Connells;98 rue Oberkampf;;;1;;;;;;;;;
Paris;Paris;1;1;1;1;1;1;1;1;1;1;1;1
Joséphine;25 Rue Moret;;1;1;;;;;;;;;
Dirty Dick;8 Rue Frochot;;1;1;;;;;;;;;
Le Siempre;53 Avenue Picquet Grenelle;;;1;;;;;;;;1;
Prince Palace;76-78 Avenue des Champs-Élysées;;;1;;;;;;;;;
Bar de l'Hôtel Costes;239 Rue Saint-Honoré;;;1;;;;;;;;;
La Java;149 rue Montmartre;;;1;;;;;;;;;
La Limite;62 Rue Orfila;;;1;;;;;;;;;
Bagatelle Mansion;42 Route de Sèvres à Neuilly;;1;1;1;1;;;;;;;
Mosquée Porte des Poissonniers;rue de la Porte des Poissonniers;;;;;;1;;1;;;;
Tiny Café;11 rue Daval;;;1;;;;;1;;;;
Le Perchoir;14 Rue Crespin du Gast;;1;1;;;;;;;;;
Tour Eiffel;5 Avenue Anatole France;;;;;;1;;1;;1;;
Moonshiner;5 rue Sedaine;;;1;;;;;;;;;
En Attendant Rosa;Port des Invalides;;;1;;;;;;;;;
Faust;Quai d'Orsay;;;1;;;;;;;;;
Le Fantôme;36 Rue de Paradis;;;1;;;;;;;;;
Le 20134;11 Rue Montagne Sainte Geneviève;;;1;;;;;;;;;
Artisan;14 rue Bochart de Saron;;1;1;;;;;;;;;
Exposition Georges Braque;Grand Palais;;;;;;;;1;;;;
Le Yoyo;13 avenue du Président Wilson;;1;1;1;1;;;;;;;
